iter	Passed	Remaining
273	4882	12937
274	4899	12917
275	4917	12899
276	4935	12882
277	4953	12864
278	4970	12844
279	4989	12831
280	5008	12816
281	5027	12799
282	5048	12791
283	5067	12775
284	5084	12755
285	5101	12735
286	5118	12714
287	5134	12694
288	5154	12680
289	5175	12670
290	5193	12654
291	5210	12634
292	5227	12613
293	5248	12603
294	5266	12586
295	5280	12559
296	5296	12536
297	5312	12513
298	5329	12494
299	5345	12473
300	5363	12455
301	5380	12435
302	5398	12418
303	5415	12398
304	5434	12383
305	5452	12366
306	5471	12350
307	5490	12335
308	5506	12313
309	5526	12300
310	5545	12285
311	5561	12263
312	5579	12246
313	5597	12227
314	5614	12208
315	5630	12187
316	5648	12170
317	5666	12152
318	5682	12131
319	5701	12116
320	5718	12096
321	5735	12075
322	5751	12054
323	5767	12034
324	5784	12013
325	5799	11989
326	5816	11970
327	5833	11952
328	5852	11935
329	5867	11913
330	5885	11895
331	5904	11880
332	5921	11860
333	5938	11842
334	5956	11823
335	5974	11806
336	5993	11791
337	6013	11778
338	6033	11764
339	6050	11744
340	6065	11722
341	6081	11700
342	6096	11677
343	6115	11661
344	6133	11645
345	6153	11631
346	6171	11613
347	6187	11593
348	6204	11574
349	6225	11560
350	6243	11545
351	6261	11526
352	6279	11509
353	6297	11491
354	6313	11470
355	6330	11451
356	6348	11434
357	6365	11414
358	6383	11396
359	6400	11378
360	6418	11361
361	6436	11343
362	6453	11324
363	6471	11307
364	6487	11287
365	6505	11268
366	6523	11251
367	6539	11231
368	6556	11211
369	6571	11189
370	6589	11171
371	6607	11154
372	6626	11138
373	6644	11120
374	6659	11099
375	6676	11080
376	6693	11061
377	6713	11047
378	6732	11031
379	6750	11013
380	6770	10999
381	6788	10981
382	6805	10964
383	6825	10949
384	6844	10934
385	6862	10915
386	6879	10897
387	6897	10879
388	6915	10862
389	6936	10849
390	6952	10829
391	6970	10811
392	6988	10794
393	7007	10778
394	7025	10760
395	7042	10741
396	7059	10722
397	7078	10706
398	7098	10691
399	7117	10676
400	7135	10658
401	7153	10641
402	7171	10623
403	7188	10604
404	7205	10585
405	7221	10565
406	7237	10544
407	7254	10526
408	7270	10506
409	7289	10490
410	7307	10472
411	7324	10453
412	7343	10437
413	7362	10421
414	7383	10407
415	7401	10390
416	7421	10375
417	7439	10358
418	7456	10340
419	7474	10321
420	7492	10303
421	7509	10285
422	7528	10269
423	7546	10251
424	7566	10237
425	7584	10219
426	7603	10203
427	7619	10182
428	7636	10164
429	7654	10146
430	7673	10130
431	7691	10112
432	7708	10094
433	7726	10076
434	7743	10057
435	7762	10042
436	7778	10021
437	7794	10000
438	7811	9982
439	7830	9966
440	7849	9949
441	7867	9932
442	7886	9916
443	7902	9896
444	7920	9878
445	7936	9858
446	7953	9839
447	7969	9819
448	7986	9801
449	8003	9781
450	8021	9764
451	8039	9746
452	8056	9728
453	8073	9709
454	8089	9689
455	8104	9668
456	8121	9649
457	8139	9631
458	8156	9614
459	8171	9593
460	8189	9575
461	8208	9559
462	8224	9538
463	8246	9526
464	8266	9511
465	8285	9494
466	8305	9479
467	8327	9466
468	8350	9454
469	8372	9441
470	8392	9426
471	8412	9410
472	8432	9394
473	8450	9377
474	8468	9360
475	8487	9343
476	8505	9325
477	8524	9308
478	8544	9293
479	8564	9277
480	8583	9261
481	8602	9244
482	8624	9231
483	8646	9218
484	8665	9201
485	8682	9182
486	8699	9163
487	8717	9146
488	8737	9130
489	8756	9113
490	8774	9096
491	8796	9082
492	8814	9064
493	8836	9051
494	8855	9034
495	8873	9016
496	8894	9002
497	8915	8987
498	8935	8971
499	8954	8954
500	8971	8936
501	8989	8918
502	9007	8900
503	9026	8883
504	9044	8865
505	9062	8847
506	9079	8828
507	9096	8809
508	9114	8792
509	9134	8776
510	9150	8756
511	9171	8741
512	9190	8724
513	9207	8705
514	9225	8688
515	9243	8670
516	9260	8651
517	9277	8632
518	9293	8612
519	9311	8594
520	9330	8578
521	9350	8562
522	9370	8546
523	9388	8528
524	9408	8512
525	9425	8493
526	9443	8476
527	9461	8458
528	9478	8439
529	9497	8422
530	9514	8403
531	9535	8388
532	9550	8367
533	9569	8350
534	9588	8333
535	9605	8315
536	9622	8296
537	9640	8278
538	9657	8259
539	9674	8240
540	9692	8223
541	9712	8206
542	9733	8191
543	9751	8173
544	9767	8154
545	9787	8138
546	9806	8121
547	9824	8103
548	9842	8085
549	9859	8066
550	9878	8050
551	9895	8030
552	9913	8013
553	9930	7994
554	9946	7975
555	9964	7957
556	9980	7937
557	9996	7918
558	10012	7899
559	10028	7879
560	10045	7861
561	10063	7842
562	10080	7824
563	10096	7805
564	10113	7786
565	10132	7769
566	10152	7753
567	10169	7734
568	10186	7715
569	10206	7699
570	10223	7680
571	10242	7664
572	10261	7646
573	10278	7628
574	10296	7610
575	10315	7593
576	10332	7574
577	10350	7556
578	10367	7538
579	10386	7521
580	10403	7502
581	10421	7484
582	10436	7465
583	10456	7448
584	10474	7430
585	10492	7412
586	10511	7395
587	10526	7375
588	10542	7356
589	10559	7338
590	10582	7323
591	10603	7307
592	10622	7290
593	10640	7273
594	10661	7257
595	10681	7240
596	10701	7224
597	10721	7207
598	10741	7190
599	10758	7172
600	10780	7156
601	10801	7141
602	10823	7125
603	10845	7110
604	10867	7095
605	10888	7079
606	10908	7062
607	10931	7047
608	10953	7032
609	10974	7016
610	10993	6999
611	11017	6984
612	11035	6966
613	11053	6948
614	11072	6931
615	11091	6914
616	11109	6896
617	11128	6878
618	11146	6860
619	11163	6842
620	11181	6823
621	11199	6805
622	11218	6788
623	11236	6770
624	11254	6752
625	11272	6734
626	11289	6716
627	11308	6698
628	11326	6680
629	11343	6662
630	11361	6643
631	11377	6625
632	11394	6606
633	11412	6588
634	11431	6570
635	11449	6552
636	11466	6534
637	11485	6516
638	11505	6499
639	11522	6481
640	11538	6462
641	11557	6445
642	11576	6427
643	11594	6409
644	11610	6390
645	11627	6371
646	11643	6352
647	11662	6335
648	11678	6316
649	11696	6297
650	11714	6280
651	11732	6262
652	11749	6243
653	11769	6226
654	11787	6208
655	11805	6190
656	11821	6171
657	11836	6152
658	11853	6133
659	11869	6114
660	11886	6096
661	11903	6077
662	11921	6059
663	11937	6040
664	11954	6022
665	11970	6003
666	11986	5984
667	12002	5965
668	12021	5948
669	12038	5929
670	12053	5909
671	12069	5891
672	12086	5872
673	12104	5854
674	12124	5837
675	12141	5819
676	12158	5800
677	12174	5781
678	12192	5763
679	12209	5745
680	12227	5727
681	12246	5710
682	12263	5692
683	12280	5673
684	12299	5655
685	12317	5638
686	12335	5620
687	12354	5602
688	12371	5584
689	12389	5566
690	12408	5548
691	12427	5531
692	12445	5513
693	12463	5495
694	12481	5477
695	12499	5459
696	12518	5441
697	12537	5424
698	12556	5406
699	12573	5388
700	12590	5370
701	12607	5351
702	12624	5333
703	12642	5315
704	12660	5297
705	12677	5279
706	12698	5262
707	12716	5244
708	12732	5225
709	12751	5208
710	12771	5191
711	12790	5173
712	12809	5156
713	12825	5137
714	12845	5120
715	12864	5102
716	12885	5085
717	12902	5067
718	12920	5049
719	12938	5031
720	12956	5013
721	12972	4994
722	12989	4976
723	13007	4958
724	13026	4940
725	13045	4923
726	13063	4905
727	13082	4887
728	13100	4869
729	13117	4851
730	13135	4833
731	13154	4816
732	13171	4797
733	13189	4779
734	13209	4762
735	13226	4744
736	13244	4726
737	13265	4709
738	13285	4692
739	13304	4674
740	13322	4656
741	13343	4639
742	13362	4622
743	13381	4604
744	13400	4586
745	13419	4569
746	13439	4551
747	13455	4533
748	13472	4514
749	13491	4497
750	13509	4479
751	13527	4461
752	13545	4443
753	13563	4425
754	13585	4408
755	13604	4390
756	13624	4373
757	13641	4355
758	13657	4336
759	13674	4318
760	13692	4300
761	13710	4282
762	13728	4264
763	13747	4246
764	13767	4229
765	13785	4211
766	13805	4193
767	13824	4176
768	13842	4158
769	13861	4140
770	13879	4122
771	13897	4104
772	13914	4086
773	13933	4068
774	13949	4049
775	13966	4031
776	13982	4013
777	13999	3994
778	14015	3976
779	14033	3958
780	14052	3940
781	14069	3922
782	14088	3904
783	14106	3886
784	14125	3868
785	14141	3850
786	14159	3832
787	14177	3814
788	14195	3796
789	14213	3778
790	14230	3759
791	14247	3741
792	14264	3723
793	14280	3705
794	14295	3686
795	14312	3667
796	14328	3649
797	14346	3631
798	14363	3613
799	14380	3595
800	14398	3577
801	14414	3558
802	14431	3540
803	14449	3522
804	14466	3504
805	14482	3485
806	14497	3467
807	14514	3448
808	14530	3430
809	14547	3412
810	14564	3394
811	14580	3375
812	14599	3358
813	14618	3340
814	14636	3322
815	14654	3304
816	14671	3286
817	14689	3268
818	14705	3250
819	14725	3232
820	14744	3214
821	14762	3196
822	14782	3179
823	14799	3161
824	14816	3142
825	14835	3125
826	14855	3107
827	14875	3090
828	14893	3072
829	14909	3053
830	14927	3035
831	14945	3017
832	14963	2999
833	14981	2982
834	14998	2963
835	15015	2945
836	15034	2927
837	15050	2909
838	15067	2891
839	15086	2873
840	15104	2855
841	15123	2837
842	15140	2819
843	15159	2802
844	15177	2784
845	15197	2766
846	15212	2747
847	15229	2729
848	15247	2711
849	15264	2693
850	15290	2677
851	15306	2658
852	15324	2640
853	15342	2622
854	15361	2605
855	15380	2587
856	15396	2569
857	15414	2551
858	15434	2533
859	15452	2515
860	15468	2497
861	15486	2479
862	15504	2461
863	15523	2443
864	15544	2426
865	15561	2407
866	15579	2389
867	15597	2371
868	15615	2354
869	15631	2335
870	15647	2317
871	15663	2299
872	15680	2281
873	15699	2263
874	15719	2245
875	15737	2227
876	15755	2209
877	15772	2191
878	15789	2173
879	15807	2155
880	15826	2137
881	15845	2119
882	15863	2101
883	15884	2084
884	15904	2066
885	15924	2048
886	15942	2031
887	15960	2012
888	15977	1994
889	15996	1977
890	16015	1959
891	16036	1941
892	16055	1923
893	16073	1905
894	16093	1888
895	16111	1870
896	16128	1852
897	16151	1834
898	16169	1816
899	16188	1798
900	16207	1780
901	16226	1762
902	16245	1745
903	16263	1727
904	16280	1709
905	16296	1690
906	16315	1672
907	16332	1654
908	16350	1636
909	16369	1618
910	16388	1601
911	16406	1583
912	16425	1565
913	16444	1547
914	16463	1529
915	16481	1511
916	16499	1493
917	16516	1475
918	16533	1457
919	16551	1439
920	16570	1421
921	16587	1403
922	16605	1385
923	16621	1367
924	16639	1349
925	16657	1331
926	16673	1313
927	16689	1294
928	16707	1276
929	16724	1258
930	16741	1240
931	16757	1222
932	16773	1204
933	16792	1186
934	16810	1168
935	16828	1150
936	16844	1132
937	16863	1114
938	16882	1096
939	16901	1078
940	16918	1060
941	16934	1042
942	16952	1024
943	16969	1006
944	16987	988
945	17006	970
946	17025	952
947	17042	934
948	17057	916
949	17077	898
950	17093	880
951	17111	862
952	17128	844
953	17146	826
954	17165	808
955	17182	790
956	17200	772
957	17217	754
958	17234	736
959	17250	718
960	17268	700
961	17285	682
962	17303	664
963	17319	646
964	17338	628
965	17355	610
966	17372	592
967	17390	574
968	17407	556
969	17424	538
970	17441	520
971	17457	502
972	17473	484
973	17487	466
974	17505	448
975	17523	430
976	17540	412
977	17558	394
978	17574	376
979	17589	358
980	17604	340
981	17623	323
982	17640	305
983	17657	287
984	17674	269
985	17691	251
986	17707	233
987	17726	215
988	17744	197
989	17762	179
990	17779	161
991	17798	143
992	17815	125
993	17834	107
994	17850	89
995	17866	71
996	17883	53
997	17901	35
998	17917	17
999	17936	0
